#---------------------------------------------------------
H Yields and prompt fractions for Lambda_c(2595)+
#---------------------------------------------------------
v|     y      |   pt   |      N_lst1    |     fp_lst1    |
#---------------------------------------------------------
 | 2.25, 2.75 |  6,  7 |     59 +-    9 | 1.000 +- 0.000 |
 | 2.25, 2.75 |  7,  8 |    115 +-  167 | 0.851 +- 0.086 |
 | 2.25, 2.75 |  8,  9 |    214 +-   90 | 0.919 +- 0.101 |
 | 2.25, 2.75 |  9, 10 |    271 +-   27 | 0.926 +- 0.097 |
 | 2.25, 2.75 | 10, 12 |    600 +-   45 | 0.903 +- 0.050 |
 | 2.25, 2.75 | 12, 15 |    605 +-   49 | 0.872 +- 0.050 |
 | 2.25, 2.75 | 15, 20 |    331 +-   34 | 1.000 +- 0.000 |
#---------------------------------------------------------
 | 2.75, 3.25 |  5,  6 |    201 +-   25 | 1.000 +- 0.000 |
 | 2.75, 3.25 |  6,  7 |    374 +-   31 | 0.742 +- 0.069 |
 | 2.75, 3.25 |  7,  8 |    430 +-   51 | 0.860 +- 0.057 |
 | 2.75, 3.25 |  8,  9 |    466 +-   54 | 0.947 +- 0.082 |
 | 2.75, 3.25 |  9, 10 |    500 +-   50 | 0.899 +- 0.045 |
 | 2.75, 3.25 | 10, 12 |    909 +-   57 | 0.873 +- 0.042 |
 | 2.75, 3.25 | 12, 15 |    712 +-   44 | 1.000 +- 0.000 |
 | 2.75, 3.25 | 15, 20 |    275 +-   31 | 0.899 +- 0.051 |
#---------------------------------------------------------
 | 3.25, 3.75 |  3,  4 |     55 +-   22 | 0.235 +- 0.369 |
 | 3.25, 3.75 |  4,  5 |     69 +-   37 | 0.954 +- 0.058 |
 | 3.25, 3.75 |  5,  6 |    310 +-   62 | 0.789 +- 0.140 |
 | 3.25, 3.75 |  6,  7 |    313 +-   56 | 0.922 +- 0.083 |
 | 3.25, 3.75 |  7,  8 |    378 +-   48 | 0.895 +- 0.069 |
 | 3.25, 3.75 |  8,  9 |    350 +-   44 | 1.000 +- 0.000 |
 | 3.25, 3.75 |  9, 10 |    373 +-   50 | 0.821 +- 0.067 |
 | 3.25, 3.75 | 10, 12 |    464 +-   52 | 0.961 +- 0.036 |
#---------------------------------------------------------
 | 3.75, 4.25 |  4,  5 |     48 +-   17 | 0.364 +- 0.267 |
 | 3.75, 4.25 |  5,  6 |     82 +-   24 | 0.973 +- 0.033 |
 | 3.75, 4.25 |  6,  7 |    161 +-   20 | 1.000 +- 0.000 |
 | 3.75, 4.25 |  7,  8 |    109 +-   22 | 0.855 +- 0.218 |
 | 3.75, 4.25 |  8,  9 |     50 +-   17 | 0.954 +- 0.089 |
#---------------------------------------------------------
